"code" "name_long" "name_short" "code_FD" "FD" "row" "col"
"01000000000" "Алтайский край" "Ал.к." "041" "СФО" 6 13
"10000000000" "Амурская область" "Амур" "042" "ДФО" 4 16
"11001000000" "Архангельская область (кроме Ненецкого автономного округа)" "Арх" "031" "СЗФО" 3 9
"12000000000" "Астраханская область" "Аст" "040" "ЮФО" 9 8
"14000000000" "Белгородская область" "Бел" "030" "ЦФО" 8 5
"15000000000" "Брянская область" "Бря" "030" "ЦФО" 6 3
"17000000000" "Владимирская область" "Вла" "030" "ЦФО" 5 6
"18000000000" "Волгоградская область" "Волг" "040" "ЮФО" 8 7
"19000000000" "Вологодская область" "Воло" "031" "СЗФО" 3 5
"20000000000" "Воронежская область" "Вор" "030" "ЦФО" 8 6
"99000000000" "Еврейская автономная область" "Евр" "042" "ДФО" 5 16
"76000000000" "Забайкальский край" "Заб" "042" "ДФО" 6 15
"24000000000" "Ивановская область" "Ива" "030" "ЦФО" 4 6
"25000000000" "Иркутская область" "Ирк" "041" "СФО" 4 15
"83000000000" "Кабардино-Балкарская Республика" "Каб" "038" "СКФО" 11 5
"27000000000" "Калининградская область" "Кали" "031" "СЗФО" 4 1
"29000000000" "Калужская область" "Калу" "030" "ЦФО" 5 4
"30000000000" "Камчатский край" "Кам" "042" "ДФО" 2 18
"91000000000" "Карачаево-Черкесская Республика" "Кара" "038" "СКФО" 10 5
"32000000000" "Кемеровская область" "Кем" "041" "СФО" 4 14
"33000000000" "Кировская область" "Кир" "033" "ПФО" 4 9
"34000000000" "Костромская область" "Кос" "030" "ЦФО" 4 7
"03000000000" "Краснодарский край" "Крдр" "040" "ЮФО" 9 5
"04000000000" "Красноярский край" "Крас" "041" "СФО" 3 14
"37000000000" "Курганская область" "Кург" "034" "УФО" 5 12
"38000000000" "Курская область" "Курск" "030" "ЦФО" 7 4
"41000000000" "Ленинградская область" "Лен" "031" "СЗФО" 3 3
"42000000000" "Липецкая область" "Лип" "030" "ЦФО" 7 5
"44000000000" "Магаданская область" "Маг" "042" "ДФО" 3 17
"45000000000" "Город Москва столица Российской Федерации город федерального значения" "Мск" "030" "ЦФО" 2 1
"46000000000" "Московская область" "Мос" "030" "ЦФО" 5 5
"47000000000" "Мурманская область" "Мур" "031" "СЗФО" 1 5
"11100000000" "Ненецкий автономный округ (Архангельская область)" "Нен" "031" "СЗФО" 2 10
"22000000000" "Нижегородская область" "Ниж" "033" "ПФО" 5 7
"49000000000" "Новгородская область" "Новг" "031" "СЗФО" 3 4
"50000000000" "Новосибирская область" "Ново" "041" "СФО" 5 13
"52000000000" "Омская область" "Омск" "041" "СФО" 6 12
"53000000000" "Оренбургская область" "Орен" "033" "ПФО" 7 9
"54000000000" "Орловская область" "Орёл" "030" "ЦФО" 6 4
"56000000000" "Пензенская область" "Пен" "033" "ПФО" 7 7
"57000000000" "Пермский край" "Пер" "033" "ПФО" 4 10
"05000000000" "Приморский край" "При" "042" "ДФО" 6 17
"58000000000" "Псковская область" "Пск" "031" "СЗФО" 4 3
"79000000000" "Республика Адыгея (Адыгея)" "Адыг" "040" "ЮФО" 9 4
"84000000000" "Республика Алтай" "Алт" "041" "СФО" 7 13
"80000000000" "Республика Башкортостан" "Бшк" "033" "ПФО" 6 10
"81000000000" "Республика Бурятия" "Бур" "042" "ДФО" 5 15
"82000000000" "Республика Дагестан" "Даг" "038" "СКФО" 10 8
"26000000000" "Республика Ингушетия*" "Инг" "038" "СКФО" 11 7
"85000000000" "Республика Калмыкия" "Калм" "040" "ЮФО" 9 7
"86000000000" "Республика Карелия" "Кар" "031" "СЗФО" 2 4
"87000000000" "Республика Коми" "Коми" "031" "СЗФО" 3 10
"35000000000" "Республика Крым" "Крым" "040" "ЮФО" 9 3
"88000000000" "Республика Марий Эл" "Мари" "033" "ПФО" 4 8
"89000000000" "Республика Мордовия" "Мор" "033" "ПФО" 6 7
"98000000000" "Республика Саха (Якутия)" "Саха" "042" "ДФО" 3 16
"90000000000" "Республика Северная Осетия-Алания" "Осeт" "038" "СКФО" 11 6
"92000000000" "Республика Татарстан (Татарстан)" "Тат" "033" "ПФО" 5 9
"93000000000" "Республика Тыва" "Тыва" "041" "СФО" 6 14
"95000000000" "Республика Хакасия" "Хак" "041" "СФО" 5 14
"60000000000" "Ростовская область" "Рос" "040" "ЮФО" 9 6
"61000000000" "Рязанская область" "Ряз" "030" "ЦФО" 6 6
"36000000000" "Самарская область" "Сам" "033" "ПФО" 6 9
"40000000000" "Город Санкт-Петербург город федерального значения" "Спб" "031" "СЗФО" 1 1
"63000000000" "Саратовская область" "Сар" "033" "ПФО" 7 8
"64000000000" "Сахалинская область" "Схлн" "042" "ДФО" 4 19
"65000000000" "Свердловская область" "Свер" "034" "УФО" 5 11
"67000000000" "Город федерального значения Севастополь" "Сев" "040" "ЮФО" 10 3
"66000000000" "Смоленская область" "Смол" "030" "ЦФО" 5 3
"07000000000" "Ставропольский край" "Став" "038" "СКФО" 10 6
"68000000000" "Тамбовская область" "Там" "030" "ЦФО" 7 6
"28000000000" "Тверская область" "Твeр" "030" "ЦФО" 4 4
"69000000000" "Томская область" "Томск" "041" "СФО" 4 13
"70000000000" "Тульская область" "Тул" "030" "ЦФО" 6 5
"71001000000" "Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа)" "Тюм" "034" "УФО" 4 12
"94000000000" "Удмуртская Республика" "Удм" "033" "ПФО" 5 10
"73000000000" "Ульяновская область" "Уль" "033" "ПФО" 6 8
"08000000000" "Хабаровский край" "Хаб" "042" "ДФО" 4 17
"71100000000" "Ханты-Мансийский автономный округ - Югра (Тюменская область)" "Хан" "034" "УФО" 4 11
"75000000000" "Челябинская область" "Чел" "034" "УФО" 6 11
"96000000000" "Чеченская Республика*" "Чеч" "038" "СКФО" 10 7
"97000000000" "Чувашская Республика - Чувашия" "Чув" "033" "ПФО" 5 8
"77000000000" "Чукотский автономный округ" "Чук" "042" "ДФО" 2 17
"71140000000" "Ямало-Ненецкий автономный округ (Тюменская область)" "Ямал" "034" "УФО" 3 11
"78000000000" "Ярославская область" "Яро" "030" "ЦФО" 4 5
