"code","name_long","name_short","code_FD","FD","row","col"
1000000000,"Алтайский край","Ал.к.",41,"СФО",6,13
10000000000,"Амурская область","Амур",42,"ДФО",4,15
11001000000,"Архангельская область (кроме Ненецкого автономного округа)","Арх",31,"СЗФО",3,8
12000000000,"Астраханская область","Аст",40,"ЮФО",9,8
14000000000,"Белгородская область","Бел",30,"ЦФО",8,5
15000000000,"Брянская область","Бря",30,"ЦФО",6,3
17000000000,"Владимирская область","Вла",30,"ЦФО",5,6
18000000000,"Волгоградская область","Волг",40,"ЮФО",8,7
19000000000,"Вологодская область","Воло",31,"СЗФО",3,5
20000000000,"Воронежская область","Вор",30,"ЦФО",8,6
99000000000,"Еврейская автономная область","Евр",42,"ДФО",5,16
76000000000,"Забайкальский край","Заб",42,"ДФО",6,15
24000000000,"Ивановская область","Ива",30,"ЦФО",4,5
25000000000,"Иркутская область","Ирк",41,"СФО",4,14
83000000000,"Кабардино-Балкарская Республика","Каб",38,"СКФО",11,5
27000000000,"Калининградская область","Кали",31,"СЗФО",4,2
29000000000,"Калужская область","Калу",30,"ЦФО",5,4
30000000000,"Камчатский край","Кам",42,"ДФО",3,18
91000000000,"Карачаево-Черкесская Республика","Кара",38,"СКФО",10,5
32000000000,"Кемеровская область","Кем",41,"СФО",4,13
33000000000,"Кировская область","Кир",33,"ПФО",4,8
34000000000,"Костромская область","Кос",30,"ЦФО",4,6
3000000000,"Краснодарский край","Крдр",40,"ЮФО",9,5
4000000000,"Красноярский край","Крас",41,"СФО",3,13
37000000000,"Курганская область","Кург",34,"УФО",5,12
38000000000,"Курская область","Курск",30,"ЦФО",7,4
41000000000,"Ленинградская область","Лен",31,"СЗФО",2,3
42000000000,"Липецкая область","Лип",30,"ЦФО",7,5
44000000000,"Магаданская область","Маг",42,"ДФО",3,17
45000000000,"г. Москва","Мск",30,"ЦФО",2,1
46000000000,"Московская область","Мос",30,"ЦФО",5,5
47000000000,"Мурманская область","Мур",31,"СЗФО",1,4
11100000000,"Ненецкий автономный округ (Архангельская область)","Нен",31,"СЗФО",2,9
22000000000,"Нижегородская область","Ниж",33,"ПФО",5,7
49000000000,"Новгородская область","Новг",31,"СЗФО",3,3
50000000000,"Новосибирская область","Ново",41,"СФО",5,13
52000000000,"Омская область","Омск",41,"СФО",6,12
53000000000,"Оренбургская область","Орен",33,"ПФО",7,9
54000000000,"Орловская область","Орёл",30,"ЦФО",6,4
56000000000,"Пензенская область","Пен",33,"ПФО",7,7
57000000000,"Пермский край","Пер",33,"ПФО",4,9
5000000000,"Приморский край","При",42,"ДФО",6,17
58000000000,"Псковская область","Пск",31,"СЗФО",4,3
79000000000,"Республика Адыгея (Адыгея)","Адыг",40,"ЮФО",9,4
84000000000,"Республика Алтай","Алт",41,"СФО",7,13
80000000000,"Республика Башкортостан","Бшк",33,"ПФО",6,10
81000000000,"Республика Бурятия","Бур",42,"ДФО",5,15
82000000000,"Республика Дагестан","Даг",38,"СКФО",10,8
26000000000,"Республика Ингушетия*","Инг",38,"СКФО",11,7
85000000000,"Республика Калмыкия","Калм",40,"ЮФО",9,7
86000000000,"Республика Карелия","Кар",31,"СЗФО",2,4
87000000000,"Республика Коми","Коми",31,"СЗФО",3,9
35000000000,"Республика Крым","Крым",40,"ЮФО",9,3
88000000000,"Республика Марий Эл","Мари",33,"ПФО",4,7
89000000000,"Республика Мордовия","Мор",33,"ПФО",6,7
98000000000,"Республика Саха (Якутия)","Саха",42,"ДФО",3,16
90000000000,"Республика Северная Осетия-Алания","Осeт",38,"СКФО",11,6
92000000000,"Республика Татарстан (Татарстан)","Тат",33,"ПФО",5,9
93000000000,"Республика Тыва","Тыва",41,"СФО",6,14
95000000000,"Республика Хакасия","Хак",41,"СФО",5,14
60000000000,"Ростовская область","Рос",40,"ЮФО",9,6
61000000000,"Рязанская область","Ряз",30,"ЦФО",6,6
36000000000,"Самарская область","Сам",33,"ПФО",6,9
40000000000,"г. Санкт-Петербург","Спб",31,"СЗФО",1,1
63000000000,"Саратовская область","Сар",33,"ПФО",7,8
64000000000,"Сахалинская область","Схлн",42,"ДФО",4,17
65000000000,"Свердловская область","Свер",34,"УФО",5,11
67000000000,"г. Севастополь","Сев",40,"ЮФО",3,1
66000000000,"Смоленская область","Смол",30,"ЦФО",5,3
7000000000,"Ставропольский край","Став",38,"СКФО",10,6
68000000000,"Тамбовская область","Там",30,"ЦФО",7,6
28000000000,"Тверская область","Твeр",30,"ЦФО",4,4
69000000000,"Томская область","Томск",41,"СФО",4,12
70000000000,"Тульская область","Тул",30,"ЦФО",6,5
71001000000,"Тюменская область (без ХМАО и ЯНАО)","Тюм",34,"УФО",4,11
94000000000,"Удмуртская Республика","Удм",33,"ПФО",5,10
73000000000,"Ульяновская область","Уль",33,"ПФО",6,8
8000000000,"Хабаровский край","Хаб",42,"ДФО",4,16
71100000000,"Ханты-Мансийский автономный округ - Югра (Тюменская область)","Хан",34,"УФО",4,10
75000000000,"Челябинская область","Чел",34,"УФО",6,11
96000000000,"Чеченская Республика*","Чеч",38,"СКФО",10,7
97000000000,"Чувашская Республика - Чувашия","Чув",33,"ПФО",5,8
77000000000,"Чукотский автономный округ","Чук",42,"ДФО",2,17
71140000000,"Ямало-Ненецкий автономный округ (Тюменская область)","Ямал",34,"УФО",3,10
78000000000,"Ярославская область","Яро",30,"ЦФО",3,4
